OGLE LMC-CEP-2030, FU, P04     ,  13.871, 13.470, 14.480,  12.849,  12.443,  12.329, 081.7823330, -68.4952470,  12.180, Y, 117, 18.250,   0.220,   1
OGLE LMC-CEP-0500, FU, P04     ,  13.978, 13.490, 14.250,  12.786,  12.413,  12.312, 074.4619600, -67.8385770,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-1184, FU, P04     ,  14.212, 13.580, 14.560,  12.956,  12.544,  12.429, 077.7724610, -70.5095600,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-2636, FU, P04     ,  14.216, 13.480, 14.400,  12.753,  12.366,  12.254, 084.3435360, -69.4831700,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-0683, FU, P04     ,  14.677, 13.430, 14.330,  12.773,  12.382,  12.285, 075.3539200, -70.0717770,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-0545, FU, P04     ,  15.831, 13.280, 14.240,  12.627,  12.226,  12.111, 074.6962510, -70.0615770,  12.046, Y,  84, 18.210,   0.220,   1
OGLE LMC-CEP-0174, FU, P04     ,  15.863, 13.660, 14.760,  12.889,  12.444,  12.294, 072.7185360, -69.3155290,  12.249, Y,  89, 18.360,   0.330,   1
OGLE LMC-CEP-2023, FU, P04     ,  16.223, 12.890, 13.800,  12.406,  12.068,  11.968, 081.7523730, -71.6432500,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-4061, FU, P04     ,  16.923, 13.140, 14.010,  12.474,  12.093,  11.985, 082.3567500, -66.2397770,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-4357, FU, P04     ,  17.528, 13.550, 14.630,  12.734,  12.267,  12.113, 086.2914960, -67.3858570,  12.059, Y, 144, 18.300,   0.360,   1
OGLE LMC-CEP-2534, FU, P04     ,  18.716, 13.220, 14.120,  12.525,  12.132,  12.019, 084.0282670, -68.8203810,  11.898, Y, 112, 18.330,   0.220,   2
OGLE LMC-CEP-2949, FU, P04     ,  19.222, 13.050, 14.090,  12.385,  11.945,  11.816, 085.4522930, -68.6878130,  11.788, Y, 129, 18.160,   0.260,   1
OGLE LMC-CEP-0249, FU, P04     ,  20.083, 13.050, 13.950,  12.368,  11.963,  11.846, 073.1986310, -68.3487320,  11.876, Y,  82, 18.340,   0.160,   1
OGLE LMC-CEP-0079, FU, P04     ,  22.543, 13.110, 14.120,  12.336,  11.907,  11.776, 071.7787090, -69.2943120,        , Y,  81,       ,        ,   1
OGLE LMC-CEP-0467, FU, P04     ,  22.718, 12.710, 13.670,  12.129,  11.756,  11.651, 074.3014070, -67.3825910,  11.553, Y, 107, 18.290,   0.130,   1
OGLE LMC-CEP-2780, FU, P04     ,  23.111, 13.330, 14.580,  12.473,  11.947,  11.776, 084.8132020, -69.3275380,  11.753, Y,  86, 18.300,   0.440,   1
OGLE LMC-CEP-0501, FU, P04     ,  23.307, 12.860, 13.520,  12.081,  11.725,  11.620, 074.4626620, -69.9582140,  11.587, Y,  81, 18.240,   0.170,   1
OGLE LMC-CEP-2832, FU, P04     ,  24.130, 12.870, 13.830,  12.049,  11.616,  11.496, 084.9735340, -67.8357700,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-2504, FU, P04     ,  24.336, 12.390, 13.240,  11.814,  11.469,  11.372, 083.9005810, -68.5343930,  11.338, Y, 131, 18.070,   0.110,   1
OGLE LMC-CEP-4066, FU, P04     ,  26.063, 12.540, 13.480,  11.835,  11.415,  11.297, 082.5102390, -65.9338910,  11.281, Y, 136, 18.050,   0.220,   1
OGLE LMC-CEP-0999, FU, P04     ,  26.345, 12.370, 13.270,  11.817,  11.459,  11.364, 076.8337480, -70.4542470,  11.181, Y, 111, 18.230,   0.070,   1
OGLE LMC-CEP-3158, FU, P04     ,  26.560, 12.750, 13.780,  12.027,  11.609,  11.484, 086.6507720, -68.1842800,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-0654, FU, P04     ,  27.897, 12.530, 13.590,  11.674,  11.309,  11.206, 075.2298740, -66.6373210,  11.148, Y,  94, 18.020,   0.280,   1
OGLE LMC-CEP-0068, FU, P04     ,  28.382, 12.630, 13.710,  11.939,  11.549,  11.421, 071.4050220, -70.2510680,  11.304, Y,  75, 18.330,   0.210,   1
OGLE LMC-CEP-0367, FU, P04     ,  29.867, 12.730, 13.890,  11.962,  11.531,  11.408, 073.7762070, -67.4758300,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-0434, FU, P04     ,  30.343, 12.160, 12.980,  11.604,  11.275,  11.178, 074.1145780, -69.3796080,        , Y,  86,       ,        ,   1
OGLE LMC-CEP-0328, FU, P04     ,  34.460, 12.110, 13.030,  11.475,  11.100,  10.984, 073.5990370, -70.9016110,   8.527, Y,  91,       ,        ,   1
OGLE LMC-CEP-0528, FU, P04     ,  35.712, 12.170, 13.060,  11.512,  11.133,  11.018, 074.6365810, -70.3460310,        , Y,  84, 18.400,   0.048,   1
OGLE LMC-CEP-0945, FU, P04     ,  36.580, 11.830, 12.740,  11.222,  10.858,  10.756, 076.5617220, -66.6794200,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-1113, FU, P04     ,  37.559, 11.920, 12.760,  11.323,  10.974,  10.870, 077.3339690, -70.4574970,  11.075, Y, 111, 18.430,  -0.070,   1
OGLE LMC-CEP-0512, FU, P04     ,  39.398, 12.050, 13.030,  11.340,  10.935,  10.819, 074.5450210, -69.9497070,  10.858, Y,  84, 18.110,   0.210,   1
OGLE LMC-CEP-0943, FU, P04     ,  42.239, 11.860, 12.830,  11.170,  10.789,  10.676, 076.5369870, -71.2572400,        ,  ,    ,       ,        ,   1
OGLE LMC-CEP-0461, FU, P04     ,  45.208, 12.230, 13.360,  11.424,  10.953,  10.821, 074.2574920, -67.9952090,  10.604, Y,  88,       ,        ,   1
OGLE LMC-CEP-1290, FU, P04     ,  48.378, 11.650, 12.590,  10.927,  10.525,  10.399, 078.4736330, -67.0634540,  10.568, Y, 141, 18.040,   0.160,   1
OGLE LMC-CEP-2215, FU, VMC/CPAP,   3.241, 15.350, 16.110,  14.768,  14.482,  14.385, 082.7030030, -69.8133010,        ,  ,    ,       ,        ,   0
OGLE LMC-CEP-2226, FU, VMC/CPAP,   4.657, 14.890, 15.690,  14.294,  13.909,  13.942, 082.7478030, -69.5920030,  13.964, N,  68, 18.500,   0.099,   0
OGLE LMC-CEP-2229, FU, VMC/CPAP,   4.874, 14.720, 15.450,  14.095,  13.847,  13.819, 082.7537990, -69.7590030,  13.839, Y,  66, 18.440,   0.064,   0
OGLE LMC-CEP-2234, FU, VMC/CPAP,   4.641, 14.820, 15.550,  14.234,  13.953,  13.973, 082.7624970, -69.5353010,        ,  ,    ,       ,        ,   0
OGLE LMC-CEP-2244, FU, VMC/CPAP,   4.227, 14.950, 15.680,  14.457,  14.025,  14.064, 082.8028030, -70.0742030,  14.223, N,  55, 18.510,   0.060,   0
OGLE LMC-CEP-2249, FU, VMC/CPAP,   5.976, 14.360, 15.130,  13.854,  13.488,  13.431, 082.8228990, -69.9078980,        ,  ,    ,       ,        ,   0
OGLE LMC-CEP-2250, FU, VMC/CPAP,   4.834, 14.880, 15.720,  14.276,  13.894,  13.884, 082.8262020, -69.6073000,  13.914, Y,  68, 18.480,   0.130,   0
OGLE LMC-CEP-2255, FU, VMC/CPAP,   3.409, 15.060, 15.640,  14.573,  14.159,  14.154, 082.8433990, -69.8897020,  14.112, N,  58, 18.420,   0.012,   0
OGLE LMC-CEP-2262, FU, VMC/CPAP,   7.809, 14.200, 15.020,  13.587,  13.252,  13.175, 082.8970030, -69.3186040,  13.123, Y,  83, 18.390,   0.140,   0
OGLE LMC-CEP-2264, FU, VMC/CPAP,   3.881, 15.240, 16.080,  14.516,  14.283,  14.188, 082.9100040, -69.9481960,  13.570, Y,  57, 18.420,   0.200,   0
OGLE LMC-CEP-2265, FU, VMC/CPAP,   4.628, 14.790, 15.500,  14.267,  13.900,  13.880, 082.9115980, -69.9783020,        ,  ,    ,       ,        ,   0
OGLE LMC-CEP-2267, FU, VMC/CPAP,   3.307, 15.240, 15.960,  14.448,  13.900,  14.093, 082.9222030, -69.9534000,  11.133, Y,  57,       ,        ,   0
OGLE LMC-CEP-2273, FU, VMC/CPAP,   3.380, 15.160, 15.880,  14.666,  14.270,  14.291, 082.9345020, -69.9698030,        ,  ,    ,       ,        ,   0
OGLE LMC-CEP-2279, FU, VMC/CPAP,   4.133, 14.860, 15.620,  14.249,  14.107,  13.903, 082.9506000, -70.0242000,  11.359, Y,  57,       ,        ,   0
OGLE LMC-CEP-2281, FU, VMC/CPAP,   3.769, 15.070, 15.760,  14.689,  14.241,  14.204, 082.9601970, -69.9160000,        ,  ,    ,       ,        ,   0
OGLE LMC-CEP-2286, FU, VMC/CPAP,   9.216, 14.040, 14.810,  13.418,  13.026,  13.001, 082.9844970, -69.2427980,  12.761, Y,  92, 18.390,   0.150,   0
OGLE LMC-CEP-2288, FU, VMC/CPAP,   2.971, 15.460, 16.180,  14.906,  14.574,  14.528, 083.0043030, -69.7981030,        ,  ,    ,       ,        ,   0
OGLE LMC-CEP-2289, FU, VMC/CPAP,   3.713, 15.160, 15.910,  14.502,  14.226,  14.228, 083.0105970, -69.6372990,  14.153, Y,  63, 18.510,   0.071,   0
